ID,Label,nest,habitat,habitat_origin,habitat_rearing,fledging_survival,date,March,days_march,sex,age,weight,tarsus,wing,cross_fostered,cross_pair,swap_day,birthnest,rearnest,clutch,brightness,chroma,uv,brightness_b,chroma_b,brightness_final,chroma_final
2KS91310,BA62,S124,Urban,Rural,Urban,1,07/06/2013,31/03/2013,68,1,Pull,14.7,22,47.5,1,V148-S124,55,V148,S124,6,13.60430921,0.503770943,0.239967432,13.60430921,0.503770943,13.60430921,0.503770943
2KS91311,BA63,S124,Urban,Rural,Urban,1,07/06/2013,31/03/2013,68,1,Pull,15.8,22.6,51,1,V148-S124,55,V148,S124,6,11.8780554,0.479954892,0.245306336,11.8780554,0.479954892,11.8780554,0.479954892
2KS91318,BA70,P31,Urban,Rural,Urban,1,11/06/2013,31/03/2013,72,2,Pull,14.8,21.5,48.5,1,V135-P31,59,V135,P31,7,12.80214152,0.439728288,0.240039845,12.80214152,0.439728288,12.80214152,0.439728288
2KS91328,BA80,P138,Urban,Rural,Urban,1,11/06/2013,31/03/2013,72,2,Pull,15.6,21.5,49,1,V374-P138,59,V374,P138,7,9.891938858,0.49993276,0.236182141,9.891938858,0.49993276,9.891938858,0.49993276
2KS91330,BA82,P138,Urban,Rural,Urban,1,11/06/2013,31/03/2013,72,2,Pull,14.7,21.2,51.5,1,V374-P138,59,V374,P138,7,9.562189378,0.470630041,0.241144996,9.562189378,0.470630041,9.562189378,0.470630041
2KS91339,BA91,P67,Urban,Rural,Urban,0,14/06/2013,31/03/2013,75,2,Pull,12.8,19.6,39,1,V381-P67,62,V381,P67,7,11.46069739,0.412362827,0.244305267,11.46069739,0.412362827,11.46069739,0.412362827
2KS91278,BC108,P55,Urban,Rural,Urban,1,05/06/2013,31/03/2013,66,2,Pull,17.1,21.9,-,1,V153-P55,53,V153,P55,7,11.1436591,0.576399858,0.233780337,21.60409338,0.927616502,11.1436591,0.576399858
2KS91279,BC109,P55,Urban,Rural,Urban,1,05/06/2013,31/03/2013,66,1,Pull,18,23.2,-,1,V153-P55,53,V153,P55,7,9.348610176,0.6279045,0.232216127,9.206670849,0.382156505,9.348610176,0.6279045
2KR97103,BC124,V153,Rural,Rural,Rural,1,05/06/2013,31/03/2013,66,2,Pull,15,22.1,-,0,V153-P55,53,V153,V153,8,9.261128277,0.558118339,0.238023945,18.58842869,0.915623939,9.261128277,0.558118339
2KR97108,BC129,V153,Rural,Rural,Rural,1,05/06/2013,31/03/2013,66,2,Pull,15.25,21.55,-,0,V153-P55,53,V153,V153,8,9.242141048,0.518980857,0.239834348,10.87228988,0.394536163,9.242141048,0.518980857
2KR97716,BC149,V148,Rural,Rural,Rural,1,07/06/2013,31/03/2013,68,2,Pull,17.75,23.1,-,0,V148-S124,55,V148,V148,7,12.15248819,0.556626902,0.245628923,12.17066512,0.491900688,12.15248819,0.589358069
2KR97720,BC153,V148,Rural,Rural,Rural,1,07/06/2013,31/03/2013,68,1,Pull,16.75,23.1,-,0,V148-S124,55,V148,V148,7,11.264376,0.553134409,0.243308393,21.82936407,1.001995668,11.26437599,0.553134408
2KR97782,BC245,V374,Rural,Rural,Rural,1,11/06/2013,31/03/2013,72,2,Pull,13.25,20.5,-,0,V374-P138,59,V374,V374,7,10.45110619,0.347007091,0.250536427,10.45110619,0.347007091,10.45110619,0.347007091
2KR97784,BC247,V374,Rural,Rural,Rural,1,11/06/2013,31/03/2013,72,1,Pull,15.5,22.2,-,0,V374-P138,59,V374,V374,7,11.04290974,0.323102788,0.248662495,10.35692926,0.222881257,11.04290974,0.323102788
2KR97796,BC264,V135,Rural,Rural,Rural,1,11/06/2013,31/03/2013,72,2,Pull,16.75,22.3,-,0,V135-P31,59,V135,V135,7,9.566884648,0.348164235,0.256696784,9.566884648,0.348164235,9.566884648,0.348164235
2KR97798,BC266,V135,Rural,Rural,Rural,1,11/06/2013,31/03/2013,72,2,Pull,18.5,22.2,-,0,V135-P31,59,V135,V135,7,8.777281529,0.420775177,0.248536172,8.777281529,0.420775177,8.777281529,0.420775177
2KS92231,BC282,P48,Urban,Rural,Urban,1,12/06/2013,31/03/2013,73,2,Pull,14.2,20.5,-,1,V140-P48,60,VP140,P48,8,10.20968725,0.393781951,0.248555852,20.41937449,0.787563902,10.20968725,0.393781951
2KS92229,BC279,P9,Urban,Rural,Urban,1,12/06/2013,31/03/2013,73,1,Pull,13.25,22.7,-,1,V219-P9,60,V219,P9,7,9.481048775,0.34508393,0.246620786,9.383594572,0.331589948,9.481048775,0.34508393
2KS92245,BC296,P148,Urban,Rural,Urban,1,12/06/2013,31/03/2013,73,1,Pull,14.9,22.4,-,1,V303-P148,60,V33,P148,6,7.347468388,0.442829892,0.252328271,14.69493677,0.885659785,7.347468387,0.442829892
2KS92247,BC298,P148,Urban,Rural,Urban,1,12/06/2013,31/03/2013,73,2,Pull,12.25,21.5,-,1,V303-P148,60,V33,P148,6,9.073328674,0.468522439,0.247192938,9.073328674,0.468522439,9.073328674,0.468522439
2KS92234,BC285,P23,Urban,Rural,Urban,1,12/06/2013,31/03/2013,73,1,Pull,16.2,22.4,-,1,V15-P23,60,V15,P23,7,11.40534826,0.439220217,0.248529756,10.89610117,0.439220217,10.89610117,0.439220217
2KS92236,BC287,P23,Urban,Rural,Urban,1,12/06/2013,31/03/2013,73,2,Pull,16,22.8,-,1,V15-P23,60,V15,P23,7,8.459882781,0.501793876,0.243833933,8.459882781,0.501793876,8.459882781,0.501793876
2KS92252,BC303,S8,Urban,Rural,Urban,0,13/06/2013,31/03/2013,74,2,Pull,13.2,21.8,-,1,V238-S8,61,V238,S8,8,10.08185318,0.381457113,0.250560049,20.16370637,0.762914225,10.08185318,0.381457113
2KR97617,BC323,V238,Rural,Rural,Rural,1,13/06/2013,31/03/2013,74,1,Pull,13.25,21.6,-,0,V238-S8,61,V238,V238,10,9.359661374,0.414687448,0.252104192,9.359661374,0.414687448,9.359661374,0.414687448
2KR97621,BC327,V238,Rural,Rural,Rural,1,13/06/2013,31/03/2013,74,1,Pull,17.25,23.2,-,0,V238-S8,61,V238,V238,10,9.798985202,0.456181097,0.23940655,9.798985202,0.456181097,9.798985202,0.456181097
2KR97110,BP2,V303,Rural,Rural,Rural,1,12/06/2013,31/03/2013,73,2,Pull,14.75,22.27,-,0,V303-P148,60,V33,V33,8,10.48397704,0.462419602,0.242972509,10.48397704,0.462419602,10.48397704,0.462419602
2KR97111,BP3,V303,Rural,Rural,Rural,1,12/06/2013,31/03/2013,73,1,Pull,16,22.08,-,0,V303-P148,60,V33,V33,8,9.736869422,0.415763976,0.252299996,9.736869422,0.385209486,9.736869422,0.385209486
2KR97124,BP16,V140,Rural,Rural,Rural,1,12/06/2013,31/03/2013,73,1,Pull,12.5,21.34,-,0,V140-P48,60,V14,V14,9,10.69178251,0.322476684,0.263496748,10.56375325,0.207252626,10.69178251,0.29136354
2KR97125,BP17,V140,Rural,Rural,Rural,1,12/06/2013,31/03/2013,73,2,Pull,15,21.17,-,0,V140-P48,60,V14,V140,9,11.12455951,0.364338291,0.24982853,11.12455951,0.364338291,11.12455951,0.364338291
2KR97147,BP39,V219,Rural,Rural,Rural,1,12/06/2013,31/03/2013,73,2,Pull,16,21.88,-,0,V219-P9,60,V219,V219,8,11.28610022,0.430587926,0.23727423,11.28610022,0.430587926,11.28610022,0.430587926
2KR97149,BP41,V219,Rural,Rural,Rural,1,12/06/2013,31/03/2013,73,1,Pull,17,22.97,-,0,V219-P9,60,V219,V219,8,11.69266753,0.385451004,0.250266094,23.36472965,0.770902008,11.68236483,0.385451004
2KR97153,BP45,V15,Rural,Rural,Rural,1,12/06/2013,31/03/2013,73,1,Pull,18.5,23.9,-,0,V15-P23,60,V15,V15,8,11.26831111,0.376831621,0.252140687,11.26831111,0.376831621,11.26831111,0.376831621
2KR97155,BP47,V15,Rural,Rural,Rural,1,12/06/2013,31/03/2013,73,2,Pull,17.5,22.31,-,0,V15-P23,60,V15,V15,8,9.910830226,0.392636341,0.246927212,9.910830226,0.392636341,9.910830226,0.392636341
2KR97521,BP112,V381,Rural,Rural,Rural,1,14/06/2013,31/03/2013,75,2,Pull,14.5,21.53,-,0,V381-P67,62,V381,V381,8,10.51360355,0.344936678,0.245988641,10.51360355,0.344936678,10.51360355,0.344936678
2KR97524,BP115,V381,Rural,Rural,Rural,1,14/06/2013,31/03/2013,75,1,Pull,16.25,22.52,-,0,V381-P67,62,V381,V381,8,8.609129268,0.419376534,0.241577927,8.069788446,0.419376534,8.069788446,0.419376534
2KS91325,BA77,P138,Urban,Urban,Urban,1,11/06/2013,31/03/2013,72,2,Pull,15.7,21.5,52,0,V374-P138,59,P138,P138,7,9.190370413,0.499369662,0.23628884,9.190370413,0.499369662,9.190370413,0.499369662
2KS91329,BA81,P138,Urban,Urban,Urban,1,11/06/2013,31/03/2013,72,2,Pull,15.6,21.4,49.5,0,V374-P138,59,P138,P138,7,11.57151083,0.436018807,0.242845782,23.14302166,0.872037613,11.57151083,0.436018806
2KR97781,BC244,V374,Rural,Urban,Rural,1,11/06/2013,31/03/2013,72,1,Pull,15.75,21.7,-,1,V374-P138,59,P138,V374,7,8.871731184,0.42856779,0.243608344,8.871731184,0.42856779,8.871731184,0.42856779
2KR97786,BC249,V374,Rural,Urban,Rural,1,11/06/2013,31/03/2013,72,2,Pull,14.6,20.9,-,1,V374-P138,59,P138,V374,7,8.533965159,0.338374372,0.250196677,8.533965159,0.338374372,8.533965159,0.338374372
2KS92246,BC297,P148,Urban,Urban,Urban,0,12/06/2013,31/03/2013,73,1,Pull,10.25,20.5,-,0,V303-P148,60,P148,P148,6,7.896481904,0.466665933,0.253849402,7.896481904,0.466665933,7.896481904,0.466665933
2KS92248,BC299,P148,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,2,Pull,10.4,21,-,0,V303-P148,60,P148,P148,6,9.724435917,0.421948531,0.247328347,9.724435917,0.421948531,9.724435917,0.421948531
2KR97109,BP1,V303,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,2,Pull,14,21.4,-,1,V303-P148,60,P148,V33,8,12.50806864,0.464811769,0.240548529,12.50806864,0.464811769,12.50806864,0.464811769
2KR97114,BP6,V303,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,13,21.95,-,1,V303-P148,60,P148,V33,8,10.01633671,0.451690892,0.248865562,10.01633671,0.451690892,10.01633671,0.451690892
2KS92232,BC283,P23,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,2,Pull,14.5,20.8,-,0,V15-P23,60,P23,P23,7,10.28755276,0.493453677,0.242096326,10.28755276,0.493453677,10.28755276,0.493453677
2KS92233,BC284,P23,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,1,Pull,16.25,22.4,-,0,V15-P23,60,P23,P23,7,10.17549732,0.44644317,0.247476342,10.17549732,0.44644317,10.17549732,0.44644317
2KR97154,BP46,V15,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,17.75,23.27,-,1,V15-P23,60,P23,V15,8,12.00275577,0.277369369,0.258277457,12.55033757,0.275034426,12.00275577,0.277369369
2KR97159,BP51,V15,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,18.75,22.55,-,1,V15-P23,60,P23,V15,8,10.25251625,0.36235845,0.251097292,10.25251625,0.36235845,10.25251625,0.36235845
2KS91320,BA72,P31,Urban,Urban,Urban,0,11/06/2013,31/03/2013,72,1,Pull,14.4,21.7,48,0,V135-P31,59,P31,P31,7,10.17636787,0.392324043,0.245838663,10.17636787,0.392324043,10.17636787,0.392324043
2KS91319,BA71,P31,Urban,Urban,Urban,1,11/06/2013,31/03/2013,72,1,Pull,15.3,22.3,53,0,V135-P31,59,P31,P31,7,9.562905627,0.413172383,0.245490072,9.562905627,0.413172383,9.562905627,0.413172383
2KS91321,BA73,P31,Urban,Urban,Urban,1,11/06/2013,31/03/2013,72,1,Pull,15.6,22.9,52.5,0,V135-P31,59,P31,P31,7,8.602559478,0.477741741,0.241854746,8.602559478,0.477741741,8.602559478,0.477741741
2KR97795,BC263,V135,Rural,Urban,Rural,1,11/06/2013,31/03/2013,72,2,Pull,17.9,21.6,-,1,V135-P31,59,P31,V135,7,8.108314416,0.34647469,0.258175121,8.108314416,0.34647469,8.108314416,0.34647469
2KR97797,BC265,V135,Rural,Urban,Rural,1,11/06/2013,31/03/2013,72,1,Pull,17.75,22.6,-,1,V135-P31,59,P31,V135,7,8.361735333,0.374383882,0.254827987,8.361735333,0.374383882,8.361735333,0.374383882
2KS92230,BC281,P48,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,1,Pull,14.75,21.8,-,0,V140-P48,60,P48,P48,8,8.350743948,0.42613774,0.248219206,16.7014879,0.85227548,8.350743948,0.42613774
2KR97127,BP19,V140,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,14.25,22.76,-,1,V140-P48,60,P48,V140,9,12.34722719,0.358059155,0.252754651,24.69445438,0.716118309,12.34722719,0.358059155
2KR97128,BP20,V140,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,2,Pull,13.25,21.5,-,1,V140-P48,60,P48,V140,9,10.84931567,0.363376978,0.251739504,21.69863134,0.726753956,10.84931567,0.363376978
2KS91277,BC107,P55,Urban,Urban,Urban,1,05/06/2013,31/03/2013,66,1,Pull,16,22.2,-,0,V153-P55,53,P55,P55,7,14.21373686,0.508956233,0.242722514,15.02565285,0.439928011,14.21373686,0.508956233
2KS91280,BC110,P55,Urban,Urban,Urban,1,05/06/2013,31/03/2013,66,2,Pull,16.2,21.5,-,0,V153-P55,53,P55,P55,7,10.10333991,0.44401035,0.241273073,20.20667982,0.888020699,10.10333991,0.444010349
2KR97104,BC125,V153,Rural,Urban,Rural,1,05/06/2013,31/03/2013,66,2,Pull,14.25,21.2,-,1,V153-P55,53,P55,V153,8,8.215860192,0.511527662,0.236373699,10.02955375,0.370053536,8.215860192,0.511527662
2KR97107,BC128,V153,Rural,Urban,Rural,1,05/06/2013,31/03/2013,66,2,Pull,14.75,22.2,-,1,V153-P55,53,P55,V153,8,11.0291616,0.457089786,0.242220186,10.45445759,0.457089786,10.45445759,0.457089786
2KS91338,BA90,P67,Urban,Urban,Urban,1,14/06/2013,31/03/2013,75,1,Pull,15.4,20.9,43.5,0,V381-P67,62,P67,P67,7,10.36154533,0.312830901,0.255749126,10.38404009,0.303566966,10.36154533,0.312830901
2KR97517,BP108,V381,Rural,Urban,Rural,1,14/06/2013,31/03/2013,75,1,Pull,15.5,22.09,-,1,V381-P67,62,P67,V381,8,12.53995003,0.364004729,0.249501437,25.07990006,0.728009457,12.53995003,0.364004729
2KR97520,BP111,V381,Rural,Urban,Rural,1,14/06/2013,31/03/2013,75,2,Pull,15,22.02,-,1,V381-P67,62,P67,V381,8,9.198013554,0.393511117,0.246974199,9.198013554,0.393511117,9.198013554,0.393511117
2KS92228,BC278,P9,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,1,Pull,13.2,22.3,-,0,V219-P9,60,P9,P9,7,9.168944054,0.401447291,0.258589901,9.209095208,0.401447291,9.209095208,0.401447291
2KR97148,BP40,V219,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,2,Pull,17,21.74,-,1,V219-P9,60,P9,V219,8,10.47805501,0.400960777,0.239786126,10.47805501,0.400960777,10.47805501,0.400960777
2KR97150,BP42,V219,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,18.25,22.17,-,1,V219-P9,60,P9,V219,8,12.4092535,0.359607075,0.250149737,12.4092535,0.359607075,12.4092535,0.359607075
2KS91307,BA59,S124,Urban,Urban,Urban,1,07/06/2013,31/03/2013,68,1,Pull,16.4,23.2,49,0,V148-S124,55,S124,S124,6,9.914389591,0.442556522,0.248789366,9.914389591,0.442556522,9.914389591,0.442556522
2KS91312,BA64,S124,Urban,Urban,Urban,1,07/06/2013,31/03/2013,68,2,Pull,14.3,22.6,54,0,V148-S124,55,S124,S124,6,13.27469337,0.455521242,0.241757291,13.27469337,0.455521242,13.27469337,0.455521242
2KR97717,BC150,V148,Rural,Urban,Rural,1,07/06/2013,31/03/2013,68,1,Pull,19.4,23.2,-,1,V148-S124,55,S124,V148,7,11.85678251,0.614312027,0.233617422,11.99127562,0.474081195,11.85678251,0.614312027
2KR97718,BC151,V148,Rural,Urban,Rural,1,07/06/2013,31/03/2013,68,1,Pull,18.9,23.2,-,1,V148-S124,55,S124,V148,7,9.680612616,0.596433006,0.239146378,19.61718473,0.609193643,9.680612616,0.57824146
2KS92251,BC302,S8,Urban,Urban,Urban,0,13/06/2013,31/03/2013,74,1,Pull,16.25,22,-,0,V238-S8,61,S8,S8,8,8.470922808,0.414582533,0.252051788,16.94184562,0.791707586,8.470922808,0.395853793
2KR97618,BC324,V238,Rural,Urban,Rural,1,13/06/2013,31/03/2013,74,2,Pull,18,22.5,-,1,V238-S8,61,S8,V238,10,10.06441509,0.471549979,0.240570148,10.06441509,0.471549979,10.06441509,0.471549979
2KR97619,BC325,V238,Rural,Urban,Rural,1,13/06/2013,31/03/2013,74,2,Pull,17.6,22.1,-,1,V238-S8,61,S8,V238,10,10.06441509,0.471549979,0.240570148,10.06441509,0.471549979,10.06441509,0.471549979
2KR97620,BC326,V238,Rural,Urban,Rural,1,13/06/2013,31/03/2013,74,1,Pull,17.75,22.1,-,1,V238-S8,61,S8,V238,10,10.21861003,0.444596137,0.242859449,10.21861003,0.444596137,10.21861003,0.444596137